,Artist,Winner
0,Adele,2
1,Henry Mancini,2
2,Eric Clapton,2
3,Roberta Flack,2
4,U2,2
5,Bette Midler,2
6,Sam Smith,1
7,Santana featuring Rob Thomas,1
8,"Sammy Davis, Jr.",1
9,Lorde,1
10,Louis Armstrong,1
11,Luther Vandross,1
12,Natalie Cole with Nat King Cole,1
13,Norah Jones,1
14,O.C. Smith,1
15,Peabo Bryson & Regina Belle,1
16,Seal,1
17,Lady Antebellum,1
18,Linda Ronstadt & James Ingram,1
19,USA for Africa,1
20,Shawn Colvin,1
21,Simon & Garfunkel,1
22,The 5th Dimension,1
23,The Beatles,1
24,The Doobie Brothers,1
25,The Police,1
26,Tina Turner,1
27,Tony Bennett,1
28,Judy Collins,1
29,John Mayer,1
30,Alicia Keys,1
31,Celine Dion,1
32,Christopher Cross,1
33,Amy Winehouse,1
34,Barbra Streisand,1
35,Barbra Streisand /Debby Boone,1
36,Barry Manilow,1
37,Beyonce,1
38,Billy Joel,1
39,Bobby McFerrin,1
40,Bruce Springsteen,1
41,Dixie Chicks,1
42,Johnny Horton,1
43,Coldplay,1
44,Dionne Warwick & Friends,1
45,Kim Carnes,1
46,Domenico Modugno,1
47,Ed Sheeran,1
48,Fun featuring Janelle Monae,1
49,Instrumental(Various artists),1
50,James Taylor & Carole King,1
51,Joe South,1
52,Willie Nelson,1
